,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
322,tura,25.52,90.22,75.61,96,100,4.79,IN,1596032225
323,marawi,8.0,124.29,75.99,95,100,4.0,PH,1596032244
324,linhai,28.85,121.12,80.01,55,100,3.2,CN,1596032246
325,aklavik,68.22,-135.01,50.0,93,90,4.7,CA,1596032248
326,sao joao da barra,-21.64,-41.05,82.4,54,1,13.87,BR,1596032251
327,maracacume,-2.04,-45.96,88.47,50,0,3.53,BR,1596032253
328,walvis bay,-22.96,14.51,75.2,41,0,8.05,NA,1596032256
329,barkot,30.82,78.2,70.68,81,100,2.21,IN,1596032258
330,simao,22.79,100.97,67.68,90,68,2.08,CN,1596032260
331,harper,4.38,-7.72,77.11,83,90,11.41,LR,1596032262
332,mayo,38.89,-76.51,89.01,54,1,5.28,US,1596032264
333,bubaque,11.28,-15.83,79.77,81,86,20.04,GW,1596032267
334,haines junction,60.75,-137.51,50.43,84,100,0.94,CA,1596032269
335,cherskiy,68.75,161.3,42.28,80,56,10.36,RU,1596032271
336,hami,42.8,93.45,88.92,12,100,8.81,CN,1596032273
337,solnechnyy,50.72,136.63,71.06,83,0,3.91,RU,1596032276
338,digapahandi,19.37,84.58,82.9,81,100,5.08,IN,1596032278
339,wajima,37.4,136.9,73.58,88,95,2.66,JP,1596032280
340,wattegama,6.8,81.48,84.2,74,20,8.05,LK,1596032282
341,ambon,-3.7,128.18,78.01,15,100,17.4,ID,1596032284
342,bayji,34.93,43.49,119.73,8,53,18.28,IQ,1596032287
343,namatanai,-3.67,152.43,79.99,74,16,4.27,PG,1596032289
344,batagay-alyta,67.8,130.41,44.87,72,0,2.77,RU,1596032291
345,asau,46.43,26.4,91.4,33,20,6.93,RO,1596032293
346,guerrero negro,27.98,-114.06,67.05,87,29,5.3,MX,1596032296
347,binghamton,42.1,-75.92,80.01,60,0,5.93,US,1596032092
348,takoradi,4.88,-1.76,78.85,74,25,10.83,GH,1596032300
349,kitimat,54.05,-128.65,52.0,94,98,3.78,CA,1596032303
350,wahpeton,46.27,-96.61,71.6,68,1,5.08,US,1596032305
351,champerico,14.3,-91.92,75.2,88,40,4.92,GT,1596032307
352,banjar,-8.19,114.97,77.0,78,40,9.17,ID,1596032309
353,coquimbo,-29.95,-71.34,51.8,81,0,6.93,CL,1596032311
354,karasjok,69.47,25.51,75.2,50,99,12.75,NO,1596032314
355,smithers,54.78,-127.17,42.8,93,20,2.24,CA,1596032316
356,port augusta,-32.5,137.77,48.2,93,0,6.93,AU,1596032318
357,puerto penasco,31.32,-113.53,87.01,80,4,17.0,MX,1596032320
358,santa maria del oro,25.93,-105.37,66.36,77,93,2.68,MX,1596032323
359,yakeshi,49.28,120.73,66.4,85,93,5.23,CN,1596032325
360,meulaboh,4.14,96.13,80.29,77,100,6.13,ID,1596032327
361,vysokogornyy,50.12,139.15,65.34,94,0,1.99,RU,1596032329
362,curuca,-0.73,-47.85,88.66,48,0,3.56,BR,1596032331
363,neuquen,-38.95,-68.06,33.8,80,74,3.36,AR,1596032334
364,chapais,49.78,-74.85,64.4,88,75,4.7,CA,1596032336
365,hokitika,-42.72,170.97,52.32,86,100,4.61,NZ,1596032338
366,namtsy,62.72,129.67,59.0,77,46,8.95,RU,1596032340
367,vrangel,42.73,133.08,64.96,89,0,3.74,RU,1596032343
368,kilindoni,-7.91,39.67,76.41,79,0,17.09,TZ,1596032345
369,torbay,47.67,-52.73,57.99,100,90,5.82,CA,1596032347
370,paso de los toros,-32.82,-56.52,48.2,61,0,3.83,UY,1596032349
371,pathein,16.78,94.73,78.33,91,100,1.39,MM,1596032351
372,alofi,-19.06,-169.92,68.0,72,2,11.41,NU,1596032354
373,shingu,33.73,135.98,76.06,93,100,2.8,JP,1596032356
374,lasa,46.62,10.7,71.6,56,40,9.17,IT,1596032358
375,baisha,26.52,110.93,78.19,82,78,1.28,CN,1596032361
376,havoysund,71.0,24.66,75.2,77,41,6.93,NO,1596032363
377,parfino,57.97,31.65,71.74,84,100,8.63,RU,1596032365
378,crawfordsville,40.04,-86.87,78.8,78,1,5.82,US,1596032367
379,sur,22.57,59.53,94.59,50,10,4.34,OM,1596032370
380,craig,40.52,-107.55,57.2,71,1,5.82,US,1596032372
381,pangody,65.85,74.49,60.03,67,97,12.73,RU,1596032374
382,quatre cocos,-20.21,57.76,73.4,73,75,8.05,MU,1596032376
383,broken hill,-31.95,141.43,42.8,35,0,5.99,AU,1596032378
384,puerto del rosario,28.5,-13.86,78.8,65,0,21.92,ES,1596032381
